scale_factor,time_s,state_of_charge,power_fraction_of_rated
0.5,55584.0,4.58727306232143e-13,6.9618977249774605e-12
0.5,55656.0,4.322251378891719e-13,6.5170979723916384e-12
0.5,55728.0,4.074815130516856e-13,6.1007199292362195e-12
0.5,55800.0,3.843897967156824e-13,5.711342510039685e-12
0.5,55872.0,3.6273689496654024e-13,5.346123543858994e-12
0.5,55944.0,3.4248725387065204e-13,5.004352487958385e-12
0.5,56016.0,3.2356982681067585e-13,4.68460825686634e-12
0.5,56088.0,3.0586027263597075e-13,4.385469765111339e-12
0.5,56160.0,2.893408316062595e-13,4.106226469957619e-12
0.5,56232.0,2.7386939900250745e-13,3.844036200462141e-12
0.5,56304.0,2.5941045151604335e-13,3.5996094993606677e-12
0.5,56376.0,2.458929387014083e-13,3.370814738445915e-12
0.5,56448.0,2.3328131428122913e-13,3.1555202895106047e-12
0.5,56520.0,2.2146902747007804e-13,2.9551472380262565e-12
0.5,56592.0,2.1043830321520996e-13,2.76685341304983e-12
0.5,56664.0,2.0015362586418794e-13,2.592059900052845e-12
0.5,56736.0,1.9052616991880788e-13,2.4279245280922623e-12
0.5,56808.0,1.8153817181067576e-13,2.2737367544323206e-12
0.5,56880.0,1.731363446627267e-13,2.13020712180878e-12
0.5,56952.0,1.6530294021903465e-13,1.9959145447501213e-12
0.5,57024.0,1.5800242751469466e-13,1.870859023256344e-12
0.5,57096.0,1.5118149670393961e-13,1.7529089291201669e-12
0.5,57168.0,1.4478688387840658e-13,1.6427748050773513e-12
0.5,57240.0,1.388363219815535e-13,1.5390355656563768e-12
0.5,57312.0,1.3325879119285743e-13,1.4438228390645235e-12
0.5,57384.0,1.2805429916855247e-13,1.3535839116229909e-12
0.5,57456.0,1.2324057119586244e-13,1.270450411539059e-12
0.5,57528.0,1.1867552169633741e-13,1.1922907106054482e-12
0.5,57600.0,1.1448349182061837e-13,1.1191048088221576e-12
0.5,57672.0,1.1055790781457535e-13,1.050182163453428e-12
0.5,57744.0,1.0689877733444238e-13,9.86943859970779e-13
0.5,57816.0,1.0345279053445236e-13,9.272582701669305e-13
0.5,57888.0,1.0027322663543628e-13,8.711253940418828e-13
0.5,57960.0,9.728909644180734e-14,8.199663170671556e-13
0.5,58032.0,9.450030807875724e-14,7.695177828281884e-13
0.5,58104.0,9.192471698948829e-14,7.247535904753022e-13
0.5,58176.0,8.954449835573428e-14,6.821210263296962e-13
0.5,58248.0,8.730639209724928e-14,6.430411758628906e-13
0.5,58320.0,8.521037141721427e-14,6.060929536033653e-13
0.5,58392.0,8.325648608115033e-14,5.719869022868805e-13
0.5,58464.0,8.144465569860024e-14,5.39301936441916e-13
0.5,58536.0,7.972165847048825e-14,5.094591415399919e-13
0.5,58608.0,7.817630075443325e-14,4.817479748453479e-13
0.5,58680.0,7.671975322411426e-14,4.561684363579843e-13
0.5,58752.0,7.533426379548827e-14,4.312994406063808e-13
0.5,58824.0,7.401981715608729e-14,4.085620730620576e-13
0.5,58896.0,7.281194044269927e-14,3.865352482534945e-13
0.5,58968.0,7.169286625881319e-14,3.666400516522117e-13
0.5,59040.0,7.068040411022724e-14,3.488764832582092e-13
0.5,59112.0,6.972120969812125e-14,3.3111291486420665e-13
0.5,59184.0,6.883305807524022e-14,3.1405988920596425e-13
0.5,59256.0,6.799822012624326e-14,2.9984903449076225e-13
0.5,59328.0,6.725218470674826e-14,2.8634872251132035e-13
0.5,59400.0,6.652391285564726e-14,2.735589532676385e-13
0.5,59472.0,6.58666991062393e-14,2.6147972675971685e-13
0.5,59544.0,6.522722595652326e-14,2.494005002517952e-13
